node_id	title	summary	icon_id	category	tier	stage_name	cost	bonus_title	bonus_description	modifiers	production
woolTailoring	Wool Tailoring	A loom shop that weaves padded wraps against winter chill.	sf:scissors	crafting	3	Tailor Shop	wood:10|hide:27	Freeze and Burn damage taken −3	Freeze and Burn damage taken −3\n+3 Gold per Day	damage_taken_flat:freeze:3|damage_taken_flat:burn:3	gold:3
woolTailoring	Wool Tailoring	A loom shop that weaves padded wraps against winter chill.	sf:scissors	crafting	4	Insulated Workroom	wood:19|hide:53	Freeze and Burn damage taken −4	Freeze and Burn damage taken −4\n+4 Gold per Day	damage_taken_flat:freeze:4|damage_taken_flat:burn:4	gold:4
alchemyLab	Alchemy Lab	A precise workspace for reagents, tonics, and restorative experiments.	sf:flask.fill	alchemy	1	Workbench	stone:5|herbs:4	Poison damage +1	Poison damage +1\n+1 Herbs per Day	damage_dealt:poison:1	herbs:1
alchemyLab	Alchemy Lab	A precise workspace for reagents, tonics, and restorative experiments.	sf:flask.fill	alchemy	2	Laboratory Shelves	stone:10|herbs:8	Poison damage +2	Poison damage +2\n+2 Herbs per Day	damage_dealt:poison:2	herbs:2
alchemyLab	Alchemy Lab	A precise workspace for reagents, tonics, and restorative experiments.	sf:flask.fill	alchemy	3	Distilling Station	stone:19|herbs:17	Poison damage +3	Poison damage +3\n+3 Herbs per Day	damage_dealt:poison:3	herbs:3
alchemyLab	Alchemy Lab	A precise workspace for reagents, tonics, and restorative experiments.	sf:flask.fill	alchemy	4	Sealed Laboratory	stone:38|herbs:34	Poison damage +4	Poison damage +4\n+4 Herbs per Day	damage_dealt:poison:4	herbs:4
crystalGarden	Crystal Garden	A luminous garden where rare formations grow around quiet magic.	sf:diamond.fill	alchemy	1	Crystal Beds	stone:5|gems:4	Critical damage +1	Critical damage +1\n+1 Gems per Day\n+1 Stone per Day	critical_damage:1	gems:1|stone:1
crystalGarden	Crystal Garden	A luminous garden where rare formations grow around quiet magic.	sf:diamond.fill	alchemy	2	Covered Beds	stone:10|gems:8	Critical damage +2	Critical damage +2\n+2 Gems per Day\n+2 Stone per Day	critical_damage:2	gems:2|stone:2
crystalGarden	Crystal Garden	A luminous garden where rare formations grow around quiet magic.	sf:diamond.fill	alchemy	3	Growth Chambers	stone:19|gems:17	Critical damage +3	Critical damage +3\n+3 Gems per Day\n+3 Stone per Day	critical_damage:3	gems:3|stone:3
crystalGarden	Crystal Garden	A luminous garden where rare formations grow around quiet magic.	sf:diamond.fill	alchemy	4	Crystal Conservatory	stone:38|gems:34	Critical damage +4	Critical damage +4\n+4 Gems per Day\n+4 Stone per Day	critical_damage:4	gems:4|stone:4
runesmithWorkshop	Runesmith	A careful workshop where metalwork and crystal study meet.	sf:wand.and.stars	crafting	1	Inscription Table	iron:9|gems:2	Freeze and Holy damage +1	Freeze and Holy damage +1\n+1 Gems per Day	damage_dealt:freeze:1|damage_dealt:holy:1	gems:1
runesmithWorkshop	Runesmith	A careful workshop where metalwork and crystal study meet.	sf:wand.and.stars	crafting	2	Engraving Bench	iron:18|gems:4	Freeze and Holy damage +2	Freeze and Holy damage +2\n+2 Gems per Day	damage_dealt:freeze:2|damage_dealt:holy:2	gems:2
runesmithWorkshop	Runesmith	A careful workshop where metalwork and crystal study meet.	sf:wand.and.stars	crafting	3	Rune Forge	iron:37|gems:8	Freeze and Holy damage +3	Freeze and Holy damage +3\n+3 Gems per Day	damage_dealt:freeze:3|damage_dealt:holy:3	gems:3
runesmithWorkshop	Runesmith	A careful workshop where metalwork and crystal study meet.	sf:wand.and.stars	crafting	4	Expanded Workshop	iron:74|gems:17	Freeze and Holy damage +4	Freeze and Holy damage +4\n+4 Gems per Day	damage_dealt:freeze:4|damage_dealt:holy:4	gems:4
hunterLodge	Hunter's Lodge	A trail lodge for companion drills and field craft.	sf:figure.archery	training	1	Trail Shelter	wood:2|hide:7	Companion damage +1	Companion damage +1\n+1 Hide per Day	companion.companion_damage_dealt:1	hide:1
hunterLodge	Hunter's Lodge	A trail lodge for companion drills and field craft.	sf:figure.archery	training	2	Timber Lodge	wood:5|hide:13	Companion damage +2	Companion damage +2\n+2 Hide per Day	companion.companion_damage_dealt:2	hide:2
hunterLodge	Hunter's Lodge	A trail lodge for companion drills and field craft.	sf:figure.archery	training	3	Gear Room	wood:10|hide:27	Companion damage +3	Companion damage +3\n+3 Hide per Day	companion.companion_damage_dealt:3	hide:3
hunterLodge	Hunter's Lodge	A trail lodge for companion drills and field craft.	sf:figure.archery	training	4	Training Yard	wood:19|hide:53	Companion damage +4	Companion damage +4\n+4 Hide per Day	companion.companion_damage_dealt:4	hide:4
agilityTraining	Agility Training	A practice yard that sharpens companion footwork and reflexes.	sf:figure.run	training	1	Practice Ground	food:4|hide:6	Companion Dodge +2%	Companion Dodge +2%	companion.dodge_chance_bonus:0.02	""
agilityTraining	Agility Training	A practice yard that sharpens companion footwork and reflexes.	sf:figure.run	training	2	Obstacle Course	food:9|hide:11	Companion Dodge +4%	Companion Dodge +4%	companion.dodge_chance_bonus:0.04	""
agilityTraining	Agility Training	A practice yard that sharpens companion footwork and reflexes.	sf:figure.run	training	3	Training Yard	food:18|hide:23	Companion Dodge +6%	Companion Dodge +6%	companion.dodge_chance_bonus:0.06	""
agilityTraining	Agility Training	A practice yard that sharpens companion footwork and reflexes.	sf:figure.run	training	4	Training Pavilion	food:35|hide:46	Companion Dodge +8%	Companion Dodge +8%	companion.dodge_chance_bonus:0.08	""
moonlitSanctum	Moonlit Sanctum	A quiet sanctum for sensing rare finds and unnatural threats.	sf:moon.stars.fill	arcana	1	Shrine Foundation	herbs:4|gems:6	Astral drop rates +5%	Astral drop rates +5%\n+1 Gems in encounter rewards containing Gems	astral_chance:5|gems_find:1	""
moonlitSanctum	Moonlit Sanctum	A quiet sanctum for sensing rare finds and unnatural threats.	sf:moon.stars.fill	arcana	2	Enclosed Shrine	herbs:8|gems:13	Astral drop rates +10%	Astral drop rates +10%\n+2 Gems in encounter rewards containing Gems	astral_chance:10|gems_find:2	""
moonlitSanctum	Moonlit Sanctum	A quiet sanctum for sensing rare finds and unnatural threats.	sf:moon.stars.fill	arcana	3	Observation Chamber	herbs:17|gems:25	Astral drop rates +15%	Astral drop rates +15%\n+3 Gems in encounter rewards containing Gems	astral_chance:15|gems_find:3	""
moonlitSanctum	Moonlit Sanctum	A quiet sanctum for sensing rare finds and unnatural threats.	sf:moon.stars.fill	arcana	4	Observatory Tower	herbs:34|gems:50	Astral drop rates +20%	Astral drop rates +20%\n+4 Gems in encounter rewards containing Gems	astral_chance:20|gems_find:4	""
wishingWell	Wishing Well	A quiet landmark for late goals, rare finds, and lucky returns.	sf:water.waves	arcana	1	Dug Shaft	gems:5|gold:5	Gold found +1	Gold found +1\n+1 Gold per Day	gold_find_flat:1	gold:1
wishingWell	Wishing Well	A quiet landmark for late goals, rare finds, and lucky returns.	sf:water.waves	arcana	2	Stone Lining	gems:11|gold:10	Gold found +2	Gold found +2\n+2 Gold per Day	gold_find_flat:2	gold:2
wishingWell	Wishing Well	A quiet landmark for late goals, rare finds, and lucky returns.	sf:water.waves	arcana	3	Covered Well	gems:21|gold:20	Gold found +3	Gold found +3\n+3 Gold per Day	gold_find_flat:3	gold:3
wishingWell	Wishing Well	A quiet landmark for late goals, rare finds, and lucky returns.	sf:water.waves	arcana	4	Wellhouse	gems:42|gold:40	Gold found +4	Gold found +4\n+4 Gold per Day	gold_find_flat:4	gold:4
transmutationCrucible	Crucible	An alchemical blast furnace catalyzing raw ore into refined metals.	sf:flame.fill	alchemy	1	Smelting Kiln	stone:5|iron:5	Burn damage +1	Burn damage +1\n+1 Iron per Day	damage_dealt:burn:1	iron:1
transmutationCrucible	Crucible	An alchemical blast furnace catalyzing raw ore into refined metals.	sf:flame.fill	alchemy	2	Bellows Crucible	stone:10|iron:9	Burn damage +2	Burn damage +2\n+2 Iron per Day	damage_dealt:burn:2	iron:2
transmutationCrucible	Crucible	An alchemical blast furnace catalyzing raw ore into refined metals.	sf:flame.fill	alchemy	3	Sealed Converter	stone:19|iron:18	Burn damage +3	Burn damage +3\n+3 Iron per Day	damage_dealt:burn:3	iron:3
transmutationCrucible	Crucible	An alchemical blast furnace catalyzing raw ore into refined metals.	sf:flame.fill	alchemy	4	Transmutation Foundry	stone:38|iron:37	Burn damage +4	Burn damage +4\n+4 Iron per Day	damage_dealt:burn:4	iron:4
mycologyCellar	Mycology Cellar	A shaded cellar cultivating parasitic fungi and potent reagents.	sf:cross.vial.fill	alchemy	1	Spore Bed	stone:5|herbs:4	Leech healing +1	Leech healing +1\n+1 Herbs per Day	leech_healing:1	herbs:1
mycologyCellar	Mycology Cellar	A shaded cellar cultivating parasitic fungi and potent reagents.	sf:cross.vial.fill	alchemy	2	Mushroom Rack	stone:10|herbs:8	Leech healing +2	Leech healing +2\n+2 Herbs per Day	leech_healing:2	herbs:2
mycologyCellar	Mycology Cellar	A shaded cellar cultivating parasitic fungi and potent reagents.	sf:cross.vial.fill	alchemy	3	Spore Incubator	stone:19|herbs:17	Leech healing +3	Leech healing +3\n+3 Herbs per Day	leech_healing:3	herbs:3
mycologyCellar	Mycology Cellar	A shaded cellar cultivating parasitic fungi and potent reagents.	sf:cross.vial.fill	alchemy	4	Fungal Sanctum	stone:38|herbs:34	Leech healing +4	Leech healing +4\n+4 Herbs per Day	leech_healing:4	herbs:4
sparringGrounds	Sparring Grounds	A sandy martial yard for close-quarters parrying and shield drills.	sf:shield.checkered	training	1	Chalk Circle	wood:5|stone:3	Block gained +1	Block gained +1\n+1 Iron per Day	block_gained:1	iron:1
sparringGrounds	Sparring Grounds	A sandy martial yard for close-quarters parrying and shield drills.	sf:shield.checkered	training	2	Padded Stakes	wood:10|stone:6	Block gained +2	Block gained +2\n+2 Iron per Day	block_gained:2	iron:2
sparringGrounds	Sparring Grounds	A sandy martial yard for close-quarters parrying and shield drills.	sf:shield.checkered	training	3	Timber Ring	wood:19|stone:13	Block gained +3	Block gained +3\n+3 Iron per Day	block_gained:3	iron:3
sparringGrounds	Sparring Grounds	A sandy martial yard for close-quarters parrying and shield drills.	sf:shield.checkered	training	4	Champion's Circle	wood:38|stone:26	Block gained +4	Block gained +4\n+4 Iron per Day	block_gained:4	iron:4
archeryRange	Archery Range	Distance butts and fletching benches for long-range marksmanship.	sf:figure.archery	training	1	Target Bale	wood:5|hide:4	Bow and Crossbow damage +1	Bow and Crossbow damage +1\n+1 Wood per Day	ranged_damage_dealt:1	wood:1
archeryRange	Archery Range	Distance butts and fletching benches for long-range marksmanship.	sf:figure.archery	training	2	Shooting Line	wood:10|hide:8	Bow and Crossbow damage +2	Bow and Crossbow damage +2\n+2 Wood per Day	ranged_damage_dealt:2	wood:2
archeryRange	Archery Range	Distance butts and fletching benches for long-range marksmanship.	sf:figure.archery	training	3	Wind-Flag Range	wood:19|hide:15	Bow and Crossbow damage +3	Bow and Crossbow damage +3\n+3 Wood per Day	ranged_damage_dealt:3	wood:3
archeryRange	Archery Range	Distance butts and fletching benches for long-range marksmanship.	sf:figure.archery	training	4	Master Archery Butt	wood:38|hide:30	Bow and Crossbow damage +4	Bow and Crossbow damage +4\n+4 Wood per Day	ranged_damage_dealt:4	wood:4
library	Library	Ancient knowledge turns hard-won experience into lasting insight.	sf:books.vertical.fill	arcana	1	Scribe Desk	wood:5|gems:4	Experience +5	Experience +5	experience:5	""
library	Library	Ancient knowledge turns hard-won experience into lasting insight.	sf:books.vertical.fill	arcana	2	Scroll Archive	wood:10|gems:8	Experience +10	Experience +10	experience:10	""
library	Library	Ancient knowledge turns hard-won experience into lasting insight.	sf:books.vertical.fill	arcana	3	Illuminated Study	wood:19|gems:17	Experience +15	Experience +15	experience:15	""
library	Library	Ancient knowledge turns hard-won experience into lasting insight.	sf:books.vertical.fill	arcana	4	Grand Library	wood:38|gems:34	Experience +20	Experience +20	experience:20	""
leylineEnergy	Leyline Energy	Luminous subterranean fissures channeling raw planar magic up from deep leylines.	sf:bolt.fill	arcana	1	Glowing Fissure	stone:5|gems:4	Mana restored +1	Mana restored +1\n+1 Gems per Day	mana_restored:1	gems:1
leylineEnergy	Leyline Energy	Luminous subterranean fissures channeling raw planar magic up from deep leylines.	sf:bolt.fill	arcana	2	Resonant Fault	stone:10|gems:8	Mana restored +2	Mana restored +2\n+2 Gems per Day	mana_restored:2	gems:2
leylineEnergy	Leyline Energy	Luminous subterranean fissures channeling raw planar magic up from deep leylines.	sf:bolt.fill	arcana	3	Surging Rift	stone:19|gems:17	Mana restored +3	Mana restored +3\n+3 Gems per Day	mana_restored:3	gems:3
leylineEnergy	Leyline Energy	Luminous subterranean fissures channeling raw planar magic up from deep leylines.	sf:bolt.fill	arcana	4	Planar Confluence	stone:38|gems:34	Mana restored +4	Mana restored +4\n+4 Gems per Day	mana_restored:4	gems:4
